ym,mean_days,median_days,n,def_id,start,daytype,scope
2018-04,6.15821880384983,5.0,6798,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2018-01,7.487622011599915,5.714285714285714,7069,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2018-05,6.1221768304299005,5.0,6749,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-12,8.357389028529958,6.428571428571429,5513,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-04,8.015631784628752,6.428571428571429,2303,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2018-08,3.623838765548765,3.571428571428571,6351,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-03,6.999999999999993,5.0,2545,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2018-03,9.266742824503739,7.142857142857142,7003,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-01,6.564943734503137,5.0,749,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2016-10,4.229323308270674,2.142857142857143,266,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2016-12,0.7142857142857143,0.7142857142857143,1,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2016-09,1.4285714285714286,1.4285714285714286,1,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-11,7.938881919397814,6.428571428571429,7288,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2018-02,9.559727185566103,7.857142857142858,6556,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-09,6.171022277312955,5.0,4149,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-08,5.751431297709956,5.0,4192,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-10,6.007465067313221,5.0,4478,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-07,6.053585296401769,5.0,3863,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-06,6.304357735436239,5.0,3134,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-05,5.945259593679467,5.0,3544,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
