ym,revenue,n_orders,def_id,anchor,source,freight,voucher,status,aov
2018-01,1102475.2700000047,7187,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,153.39853485459923
2018-05,1146158.0599999926,6833,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,167.73863017708072
2017-12,862299.69,5620,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,153.43410854092525
2017-04,405848.6099999999,2377,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,170.73984434160704
2018-08,997040.0299999991,6421,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,155.277998754088
2017-03,425617.96,2617,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,162.63582728314864
2018-03,1152785.4499999955,7168,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,160.82386300223152
2017-01,136943.45999999982,787,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,174.00693773824628
2016-10,51354.51999999997,293,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,175.27139931740604
2016-09,279.69000000000005,2,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,139.84500000000003
2016-12,19.62,1,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,19.62
2017-09,717102.719999999,4227,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,169.64814762242702
2017-11,1173387.0100000007,7423,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,158.07449952849262
2018-02,980154.6000000007,6625,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,147.9478641509435
2017-08,661986.2800000026,4272,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,154.9593352059931
2017-10,764861.1500000008,4547,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,168.21226083131754
2017-07,578753.7300000027,3946,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,146.66845666497787
2017-06,499652.2400000025,3205,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,155.89773478939236
2017-05,582710.8300000036,3640,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,160.08539285714383
2018-09,166.46,1,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,166.46
2018-06,863265.5300000184,6145,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,140.4825923515083
2017-02,244959.3499999968,1718,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,142.58402211874088
2018-07,878044.2700000183,6233,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,140.8702502807666
2018-04,993592.9800000265,6919,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,143.60355253649755
2018-01,945456.2900000301,7187,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,131.55089606233895
2018-05,992871.7500000251,6833,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,145.30539294600104
2017-12,742183.790000015,5620,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,132.06117259786745
2017-04,353842.9799999996,2377,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,148.86116112747143
2018-08,848860.100000022,6421,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,132.20060738203114
2017-03,368341.32,2617,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,140.74945357279327
2018-03,981051.0600000254,7168,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,136.86538225446785
2017-01,120098.26999999976,787,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,152.60263024142282
2016-10,44507.300000000105,293,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,151.90204778157033
2016-09,207.86,2,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,103.93
2016-12,10.9,1,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,10.9
2017-09,621415.9100000121,4227,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,147.01109770523118
2017-11,1003862.1400000281,7423,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,135.23671561363707
2018-02,837895.4300000272,6625,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,126.47478188679655
2017-08,568245.7900000104,4272,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,133.01633661048933
2017-10,660179.6200000114,4547,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,145.19015174840806
2017-07,492287.3000000061,3946,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,124.75603142422861
2017-06,429916.61000000354,3205,purchase|items|excl|ex_canceled_unavail,purchase,items,excl,n/a,ex_canceled_unavail,134.13934789391686
